page,section_id,section_title,section_type,summary,body_html,cta_text,cta_url,sort_order,is_published
/belgelendirme/ce-belgesi,belgelendirme/ce-belgesi-section-1,,,,,,,1,1
/belgelendirme/gida-sektoru,belgelendirme/gida-sektoru-section-1,,,,,,,1,1
/belgelendirme,belgelendirme-section-1,,,,,,,1,1
/belgelendirme/iso-belgelendirme,belgelendirme/iso-belgelendirme-section-1,,,,,,,1,1
/belgelendirme/marka-tescil,belgelendirme/marka-tescil-section-1,,,,,,,1,1
/cozumler,cozumler-section-1,,,,,,,1,1
/danismanlik/gida-guvenligi,danismanlik/gida-guvenligi-section-1,,,,,,,1,1
/danismanlik,danismanlik-section-1,,,,,,,1,1
/danismanlik/iso-sertifikalari,danismanlik/iso-sertifikalari-section-1,,,,,,,1,1
/danismanlik/musteri-denetimleri,danismanlik/musteri-denetimleri-section-1,,,,,,,1,1
/danismanlik/sosyal-uygunluk,danismanlik/sosyal-uygunluk-section-1,,,,,,,1,1
/danismanlik/surdurulebilirlik,danismanlik/surdurulebilirlik-section-1,,,,,,,1,1
/denetim,denetim-section-1,,,,,,,1,1
/egitim/gida-sektoru-egitimleri,egitim/gida-sektoru-egitimleri-section-1,,,,,,,1,1
/egitim,egitim-section-1,,,,,,,1,1
/egitim/sosyal-uygunluk-egitimleri,egitim/sosyal-uygunluk-egitimleri-section-1,,,,,,,1,1
/eys-portal,eys-portal-section-1,,,,,,,1,1
/hakkimizda,hakkimizda-section-1,,,,,,,1,1
/hizmetler,hizmetler-section-1,,,,,,,1,1
/iletisim,iletisim-section-1,,,,,,,1,1
/,home-section-1,,,,,,,1,1
/referanslar,referanslar-section-1,,,,,,,1,1
/sss,sss-section-1,,,,,,,1,1
/surec,surec-section-1,,,,,,,1,1
